rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
11,100,A,high,Coastal Kitchen,american restaurant,Dillon Beach,(707) 878-3030,,No real website; high-fit niche; has phone,"Hi, I came across Coastal Kitchen in Dillon Beach and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Dillon Beach businesses and can send a free mockup.",,58d0addf-3c6b-40a3-988e-b2987b1244fc
12,100,A,high,Dierk's Midtown Cafe,american restaurant,Santa Rosa,(707) 545-2233,info@dierksmidtown.com,No real website; high-fit niche; has phone + email,"Hi, I came across Dierk's Midtown Cafe in Santa Rosa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,d149ae18-0675-4c0c-a3a4-c896690e4865
13,100,B,high,Handline,american restaurant,Sebastopol,(707) 827-3744,info@handline.com,DIY site (Square) — upsell; high-fit niche; has phone + email,"Hi, I found Handline in Sebastopol and saw the site is on Square. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://handlinerestaurant.square.site/,bfdfddbd-47c4-4541-a893-b8befccb20cb
14,100,A,high,Peppers Healdsburg,american restaurant,Healdsburg,(707) 435-3333,peppershealdsburg@outlook.com,No real website; high-fit niche; has phone + email,"Hi, I came across Peppers Healdsburg in Healdsburg and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Healdsburg businesses and can send a free mockup.",,8384f174-bc78-4808-8195-72fd6da701b1
15,100,A,high,Rio Bistro,american restaurant,Monte Rio,(707) 869-1400,,No real website; high-fit niche; has phone,"Hi, I came across Rio Bistro in Monte Rio and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Monte Rio businesses and can send a free mockup.",,f7677c72-cf19-42b3-a95c-16c2e5078a75
16,100,A,high,Rivertime Restaurant & Bar,american restaurant,Guerneville,(707) 604-7359,,No real website; high-fit niche; has phone,"Hi, I came across Rivertime Restaurant & Bar in Guerneville and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Guerneville businesses and can send a free mockup.",,839a00c2-f84e-4299-8035-9f275f9f90c6
17,100,A,high,Fife Creek Antiques,antique store,Guerneville,(707) 869-8416,,No real website; high-fit niche; has phone,"Hi, I came across Fife Creek Antiques in Guerneville and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Guerneville businesses and can send a free mockup.",,f24f64c7-7b0b-4268-ae02-13f76ea0959c
18,100,A,high,Gin' Gilli's Vintage Home Antiques,antique store,Geyserville,(707) 857-3509,gingillis.elisa@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Gin' Gilli's Vintage Home Antiques in Geyserville and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Geyserville businesses and can send a free mockup.",,30f286f1-e2a6-45ce-9aa4-424a24fcf315
19,100,A,high,Llano House Antiques,antique store,Sebastopol,(707) 829-9322,,No real website; high-fit niche; has phone,"Hi, I came across Llano House Antiques in Sebastopol and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sebastopol businesses and can send a free mockup.",,eb3b7ae1-6750-45b2-b20b-afe10f8c8235
20,100,A,high,Middletown Antiques,antique store,Middletown,(707) 987-2633,,No real website; high-fit niche; has phone,"Hi, I came across Middletown Antiques in Middletown and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,b13466b9-50fa-4304-a6b9-5ee14c2e6d83
21,100,A,high,Mill Street Antiques,antique store,Santa Rosa,(707) 433-8409,millstreetantiques@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Mill Street Antiques in Santa Rosa and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,eb59f636-5746-4fb0-b6a6-21bd1e8a0148
22,100,A,high,Modern Antiquarium,antique store,Healdsburg,(707) 433-5050,modernantiquarium@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Modern Antiquarium in Healdsburg and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Healdsburg businesses and can send a free mockup.",,a40f4f08-ecbd-4b9b-87db-87f021f51677
23,100,B,high,Ray's Trading Co,antique store,Sebastopol,(707) 829-9726,raystradingsebastopol@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Ray's Trading Co in Sebastopol and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://rays-trading-co.business.site/,fcad85b8-bf7f-4c4f-ba76-d35c88e9c7df
24,100,A,high,Seagull Antiques Gifts,antique store,Bodega,(707) 876-3229,,No real website; high-fit niche; has phone,"Hi, I came across Seagull Antiques Gifts in Bodega and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Bodega businesses and can send a free mockup.",,c4877a4d-5760-4131-b5a3-e399d1eecd62
25,100,A,high,Seaside Souvenirs,antique store,Petaluma,(707) 776-2873,,No real website; high-fit niche; has phone,"Hi, I came across Seaside Souvenirs in Petaluma and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Petaluma businesses and can send a free mockup.",,3c57dc63-035e-413c-965c-70f1b0cee600
26,100,A,high,The Junkyard Gypsy,antique store,Petaluma,(707) 775-5597,thejunkyardgypsy@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across The Junkyard Gypsy in Petaluma and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Petaluma businesses and can send a free mockup.",,722bb4a2-79b9-46ec-984d-8ef143e1619a
27,100,A,high,Thebohohobo,antique store,Monte Rio,(707) 303-5485,,No real website; high-fit niche; has phone,"Hi, I came across Thebohohobo in Monte Rio and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Monte Rio businesses and can send a free mockup.",,de56e8bb-1664-4e8c-b346-71b35316b098
28,100,A,high,Windmill Antiques,antique store,Sebastopol,(707) 758-2843,iswakdmann@hotmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Windmill Antiques in Sebastopol and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sebastopol businesses and can send a free mockup.",,7ae53242-5b6b-4a21-98f9-6c7d0f75b83f
29,100,A,high,Yesterday Antiques,antique store,Petaluma,(707) 479-7778,yesterdayantiques@comcast.net,No real website; high-fit niche; has phone + email,"Hi, I came across Yesterday Antiques in Petaluma and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Petaluma businesses and can send a free mockup.",,02c0fce8-b8ce-4a4e-a7dd-1a8f9bfc42e1
30,100,A,high,BubbleCups,asian restaurant,Santa Rosa,(707) 303-7750,,No real website; high-fit niche; has phone,"Hi, I came across BubbleCups in Santa Rosa and noticed you don't have a website yet — for a asian restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",http://instagram.com/BubbleCups_sr,9aca0e35-5a71-43b7-9f31-c4ed24091ca9
31,100,A,high,Eight Cuisine and Wine,asian restaurant,Sebastopol,(707) 823-8189,info@eightcuisineandwine.com,No real website; high-fit niche; has phone + email,"Hi, I came across Eight Cuisine and Wine in Sebastopol and noticed you don't have a website yet — for a asian restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sebastopol businesses and can send a free mockup.",,0e221f9a-9e3c-4bdb-b650-8ede26c042cd
32,100,A,high,Advanced Collision Repair Solutions,auto body shop,Rohnert Park,(415) 419-5824,,No real website; high-fit niche; has phone,"Hi, I came across Advanced Collision Repair Solutions in Rohnert Park and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Rohnert Park businesses and can send a free mockup.",,a56264f9-5700-4d50-a2dd-777102a18671
33,100,A,high,Healdsburg Collision Center,auto body shop,Healdsburg,(707) 431-2993,healdsburcollision@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Healdsburg Collision Center in Healdsburg and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Healdsburg businesses and can send a free mockup.",,3f45f688-78b0-4ca3-a292-ef0339fbce04
34,100,A,high,RC Auto Body,auto body shop,Santa Rosa,(707) 526-5402,,No real website; high-fit niche; has phone,"Hi, I came across RC Auto Body in Santa Rosa and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,e88ece6e-3a92-4c12-a09e-d44a58be3e91
35,100,A,high,Royal Wraps,auto body shop,Santa Rosa,(707) 393-8964,royalwraps707@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Royal Wraps in Santa Rosa and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,4285dbd7-4b5b-4158-a995-667d4712aefe
36,100,A,high,Universal Body Shop,auto body shop,Windsor,(707) 395-0520,,No real website; high-fit niche; has phone,"Hi, I came across Universal Body Shop in Windsor and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Windsor businesses and can send a free mockup.",,03c1f23a-09db-4498-8f57-92ce8b167b63
37,100,A,high,All N One Detailing,auto detailing,Cloverdale,(707) 955-4494,allnonekustomzncollision@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across All N One Detailing in Cloverdale and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,d703673a-f781-4a0c-b120-c11af937c87d
38,100,B,high,Calistoga Auto Detailing,auto detailing,Calistoga,(707) 318-3772,greg@calistogaautodetailing.com,DIY site (GoDaddy) — upsell; high-fit niche; has phone + email,"Hi, I found Calistoga Auto Detailing in Calistoga and saw the site is on GoDaddy. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://calistogaautodetailing.godaddysites.com/,ca8ba913-ed8b-429c-8949-d7c9803fe44c
39,100,A,high,Keep It Clean Detailing,auto detailing,Santa Rosa,(707) 623-2113,stew20smoke@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Keep It Clean Detailing in Santa Rosa and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,4402fd69-79d1-4f54-a6c0-144df38fd496
40,100,A,high,LV Auto Detail,auto detailing,Petaluma,(707) 981-6414,alexislopezarango01@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across LV Auto Detail in Petaluma and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Petaluma businesses and can send a free mockup.",,f65061fe-95b0-4361-adb7-f0bc3af4f6ae
41,100,B,high,Rick's Quality Auto Detailing,auto detailing,Novato,(415) 747-7692,reidrichard364@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Rick's Quality Auto Detailing in Novato and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://ricks-quality-auto-detailing.business.site,7c94abf0-8e47-4027-99ae-6af3a6b46220
42,100,A,high,Sonoma Auto Spa,auto detailing,Sonoma,(707) 776-7489,sonomautospa@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Sonoma Auto Spa in Sonoma and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sonoma businesses and can send a free mockup.",,d8f8e2cb-6eb3-4dc0-987b-dc7a94820475
43,100,A,high,Sonoma Shiners,auto detailing,Santa Rosa,(707) 364-9145,,No real website; high-fit niche; has phone,"Hi, I came across Sonoma Shiners in Santa Rosa and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",https://www.instagram.com/sonomashiner?igsh=MzRlODBiNWFlZA%3D%3D,95739ccd-2b24-4cb9-881e-8bf4b48753a6
44,100,A,high,Splash Full Service Of C,auto detailing,Cotati,(707) 795-0497,,No real website; high-fit niche; has phone,"Hi, I came across Splash Full Service Of C in Cotati and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cotati businesses and can send a free mockup.",,71f68164-0294-4db0-a393-4d6415d680d1
45,100,A,high,Tony’s MV,auto detailing,Santa Rosa,(707) 328-2422,antoniolnkv@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Tony’s MV in Santa Rosa and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,e50c8682-5767-44a7-bb07-70208bc11e5a
46,100,A,high,Estuar Auto Repair ,automotive,Santa Rosa,(707) 318-0074,padillawener@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Estuar Auto Repair in Santa Rosa and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,582354f9-af62-49e5-842e-a9752aa61417
47,100,A,high,Jerry Alward Art and Color,automotive,Santa Rosa,(707) 694-5964,satellitewolfe@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Jerry Alward Art and Color in Santa Rosa and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,9ff582de-abc8-4e3e-89d8-a1c280da45e8
48,100,A,high,Restauración de carros,automotive,Santa Rosa,(707) 703-8341,,No real website; high-fit niche; has phone,"Hi, I came across Restauración de carros in Santa Rosa and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,25b2d678-4147-4551-a95f-22cd88b43335
49,100,A,high,Jay's Kustom Exhaust & Mufflers,automotive parts and accessories,Novato,(415) 898-4192,,No real website; high-fit niche; has phone,"Hi, I came across Jay's Kustom Exhaust & Mufflers in Novato and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Novato businesses and can send a free mockup.",,482084b4-db79-4075-982e-ad49210aa63e
50,100,A,high,MG Audio,automotive parts and accessories,Santa Rosa,(707) 889-3476,miguel.henandez@sbcglobal.net,No real website; high-fit niche; has phone + email,"Hi, I came across MG Audio in Santa Rosa and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",http://www.yelp.com/biz/mg-audio-santa-rosa,c637a717-b874-496a-8885-f122706daa01
51,100,A,high,Menzio Tire Service,automotive parts and accessories,Middletown,(707) 987-2634,,No real website; high-fit niche; has phone,"Hi, I came across Menzio Tire Service in Middletown and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,5eaa1ad3-48d8-4752-9ca9-27aedccfcc7e
52,100,A,high,A&A Automotive And Performance,automotive repair,Petaluma,(707) 762-2657,,No real website; high-fit niche; has phone,"Hi, I came across A&A Automotive And Performance in Petaluma and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Petaluma businesses and can send a free mockup.",,a51026a1-5375-4dc2-a160-241b22fb78e8
53,100,A,high,Alma Electronics Repair,automotive repair,Santa Rosa,(707) 523-1228,almanaseer@att.net,No real website; high-fit niche; has phone + email,"Hi, I came across Alma Electronics Repair in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,aca8c1dd-559d-4377-adc9-dd70967f9c73
54,100,A,high,Astorga Auto Repair,automotive repair,Santa Rosa,(707) 542-1338,,No real website; high-fit niche; has phone,"Hi, I came across Astorga Auto Repair in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,2327a8c1-2060-411d-9c95-9465c1fc1fb1
55,100,A,high,BA Motorsports,automotive repair,Santa Rosa,(707) 974-8528,,No real website; high-fit niche; has phone,"Hi, I came across BA Motorsports in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,76357069-bb75-4722-9c08-dccb81f90874
56,100,A,high,Blake's Auto Body,automotive repair,Rohnert Park,(707) 890-5616,bud@blakesautobody.com,No real website; high-fit niche; has phone + email,"Hi, I came across Blake's Auto Body in Rohnert Park and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Rohnert Park businesses and can send a free mockup.",,09f2cdda-6e1a-4a78-a071-5cc40e1b07b3
57,100,A,high,CS Automotive,automotive repair,Santa Rosa,(707) 666-7240,,No real website; high-fit niche; has phone,"Hi, I came across CS Automotive in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,9c95a245-3c38-4da3-b830-9d6a316c6078
58,100,A,high,CTHall Mobile Repair ,automotive repair,Middletown,(707) 809-8020,cthallmobilerepair@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across CTHall Mobile Repair in Middletown and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,cf3c578f-50c5-4845-9242-0dedfedf7a0f
59,100,B,high,Calistoga Auto Repair,automotive repair,Calistoga,(707) 341-3355,calistogaautorepair@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Calistoga Auto Repair in Calistoga and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://calistoga-auto-repair.business.site/?m=true,8610f94b-727d-4bda-9c00-08e89e27ed1b
60,100,A,high,Calrich Auto Group,automotive repair,Santa Rosa,(707) 545-3461,calrichrburt@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Calrich Auto Group in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,aca227f8-9425-4c55-b126-069b922e3da2
61,100,A,high,Chino Auto Repair,automotive repair,Santa Rosa,(707) 542-2645,,No real website; high-fit niche; has phone,"Hi, I came across Chino Auto Repair in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,1ff44df9-1c19-41a3-bb6d-d602c1cb0c2a
62,100,B,high,Chuckles Garage,automotive repair,Santa Rosa,(707) 367-0894,chucklesgarage@gmail.com,DIY site (Blogger) — upsell; high-fit niche; has phone + email,"Hi, I found Chuckles Garage in Santa Rosa and saw the site is on Blogger. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://www.chucklesgarage.blogspot.com/,d22ebcff-3a13-4a23-91e3-263936213657
63,100,A,high,Clancy's Shop,automotive repair,Cotati,(707) 793-9440,,No real website; high-fit niche; has phone,"Hi, I came across Clancy's Shop in Cotati and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cotati businesses and can send a free mockup.",,218685c0-44f2-401c-a277-58e1fe72189b
64,100,A,high,Cruzzin Smogs,automotive repair,Santa Rosa,(707) 800-7817,sparken707@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Cruzzin Smogs in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,602dde78-84e8-40bb-b39b-57653226c519
65,100,A,high,Danny’s Tire Services LLC,automotive repair,Santa Rosa,(707) 477-3903,dannystireservice1@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Danny’s Tire Services LLC in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,ff79f3f5-ba76-45cd-916a-3f919d5f6ed6
66,100,A,high,Davis Automotive,automotive repair,Santa Rosa,(707) 528-3396,,No real website; high-fit niche; has phone,"Hi, I came across Davis Automotive in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,1a55e1b7-398a-4b5b-927c-ad835a4232de
67,100,A,high,Doc's Garage,automotive repair,Sebastopol,(707) 874-6042,,No real website; high-fit niche; has phone,"Hi, I came across Doc's Garage in Sebastopol and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sebastopol businesses and can send a free mockup.",,f6aa7f99-d964-413b-863b-22f13a1f50a2
68,100,A,high,Dunrite Automotive,automotive repair,Santa Rosa,(707) 861-0789,dunriteauto@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Dunrite Automotive in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,1c9a2aab-e99a-436d-81e2-226f7652dfe6
69,100,A,high,El Verano Auto Repair,automotive repair,Sonoma,(707) 996-1146,,No real website; high-fit niche; has phone,"Hi, I came across El Verano Auto Repair in Sonoma and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sonoma businesses and can send a free mockup.",http://www.yelp.com/biz/el-verano-auto-repair-sonoma/,466dde80-74d1-4b55-b1d7-649c847b5ff5
70,100,A,high,Escoto Autorepairs ,automotive repair,Novato,(415) 504-0620,ismaelescotto415@icloud.com,No real website; high-fit niche; has phone + email,"Hi, I came across Escoto Autorepairs in Novato and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Novato businesses and can send a free mockup.",,de3d392b-4abf-4be7-9b56-c549af021d68
71,100,A,high,Frijolito El Mecanico LLC,automotive repair,Santa Rosa,(707) 703-8443,,No real website; high-fit niche; has phone,"Hi, I came across Frijolito El Mecanico LLC in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,ad7083f5-5cd3-4c61-ae37-880f630a549d
72,100,A,high,Genuine Motors,automotive repair,Novato,(415) 382-0368,info@genuinemotors.com,No real website; high-fit niche; has phone + email,"Hi, I came across Genuine Motors in Novato and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Novato businesses and can send a free mockup.",http://www.yelp.com/biz/genuine-motors-novato?nb=1,19e3dadb-713c-4aa7-9a2d-3a2780a655f5
73,100,A,high,Guzcan Auto Repair & Tires,automotive repair,Santa Rosa,(707) 206-8658,,No real website; high-fit niche; has phone,"Hi, I came across Guzcan Auto Repair & Tires in Santa Rosa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,70c8f01a-6f6d-47dc-9b93-8d3ca4589076
74,100,A,high,Healdsburg Auto Industries,automotive repair,Healdsburg,(707) 570-5990,,No real website; high-fit niche; has phone,"Hi, I came across Healdsburg Auto Industries in Healdsburg and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Healdsburg businesses and can send a free mockup.",,65fca6ff-17af-4fd4-857c-b33d9bce9bda
