rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
11,100,A,high,CARS Auto Body,auto body shop,Lakeport,(707) 263-9035,carsautobody48@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across CARS Auto Body in Lakeport and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,323e663f-5d36-4674-afa7-d2e139427402
12,100,A,high,Farmer Brothers Auto Body,auto body shop,Ukiah,(707) 462-8390,,No real website; high-fit niche; has phone,"Hi, I came across Farmer Brothers Auto Body in Ukiah and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,d5ed916f-558a-4ebf-a549-9b123162e219
13,100,A,high,Kutting Edge Auto Refinishing,auto body shop,Ukiah,(707) 272-8024,,No real website; high-fit niche; has phone,"Hi, I came across Kutting Edge Auto Refinishing in Ukiah and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,2122620f-1a5b-4869-9d20-a9e6e4fcb2bc
14,100,A,high,All N One Detailing,auto detailing,Cloverdale,(707) 955-4494,allnonekustomzncollision@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across All N One Detailing in Cloverdale and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,d703673a-f781-4a0c-b120-c11af937c87d
15,100,A,high,D.C. Coatings,automotive,Ukiah,(707) 462-4614,sales@dccustoms.net,No real website; high-fit niche; has phone + email,"Hi, I came across D.C. Coatings in Ukiah and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,9bdc1eef-cc0d-4fd6-8cb0-63312b00d930
16,100,A,high,All-Out Audio,automotive parts and accessories,Lakeport,(707) 900-5069,,No real website; high-fit niche; has phone,"Hi, I came across All-Out Audio in Lakeport and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,e41515a4-7545-4062-90af-194fb8015050
17,100,A,high,Medieval Motorsports,automotive parts and accessories,Lakeport,(707) 533-9848,,No real website; high-fit niche; has phone,"Hi, I came across Medieval Motorsports in Lakeport and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,302e6295-6227-4238-8e67-1df009deaa9e
18,100,A,high,Adam VanWormer Mobile Repair,automotive repair,Fort Bragg,(707) 357-2135,avwmobilerepair@outlook.com,No real website; high-fit niche; has phone + email,"Hi, I came across Adam VanWormer Mobile Repair in Fort Bragg and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fort Bragg businesses and can send a free mockup.",,6ace355e-478a-41ce-8a9f-3a53cb522949
19,100,A,high,Affordable Automotive Repair  Ukiah,automotive repair,Ukiah,(707) 367-9519,,No real website; high-fit niche; has phone,"Hi, I came across Affordable Automotive Repair  Ukiah in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,0fbb6ad3-6501-4b5a-abd5-4fd5036aa4dc
20,100,A,high,All N One Performance,automotive repair,Kelseyville,(707) 413-4528,allnoneperformance@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across All N One Performance in Kelseyville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Kelseyville businesses and can send a free mockup.",,18bbbc42-2fe5-4a54-9a3f-3530091df51f
21,100,A,high,Bill Peters Equipment Repair,automotive repair,Lakeport,(707) 263-3043,cmlee1977@aol.com,No real website; high-fit niche; has phone + email,"Hi, I came across Bill Peters Equipment Repair in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,095c6f67-e122-448d-8c9c-8c127ac6d7fa
22,100,A,high,Brady's Detail & Dent Repair,automotive repair,Lakeport,(707) 245-0516,,No real website; high-fit niche; has phone,"Hi, I came across Brady's Detail & Dent Repair in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,8eb12a01-0600-4553-9c59-9919696d434b
23,100,A,high,DB Auto,automotive repair,Kelseyville,(707) 354-3786,dbauto222@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across DB Auto in Kelseyville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Kelseyville businesses and can send a free mockup.",,acb06881-0128-40ce-8668-782a1a55bdc1
24,100,A,high,Deschamps Automotive,automotive repair,Lakeport,(707) 263-4692,,No real website; high-fit niche; has phone,"Hi, I came across Deschamps Automotive in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,8552786d-6ad9-41a7-a2b4-9007a670c489
25,100,A,high,Dorsey's Auto Repair,automotive repair,Ukiah,(707) 462-0615,,No real website; high-fit niche; has phone,"Hi, I came across Dorsey's Auto Repair in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,1b1af35b-ba43-41c9-ba39-dd770d95b29d
26,100,A,high,Fort Bragg Diesel,automotive repair,Fort Bragg,(707) 964-7019,fortbraggdiesel@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Fort Bragg Diesel in Fort Bragg and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fort Bragg businesses and can send a free mockup.",,82e32342-c2e6-416b-ac68-f57d546b0380
27,100,A,high,Garcia Auto Repair,automotive repair,Lakeport,(707) 570-5702,garcia.auto.lakeport@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Garcia Auto Repair in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,f4370699-840a-45eb-861e-b38f51155952
28,100,A,high,Jacinto Automotive,automotive repair,Ukiah,(707) 468-0091,office@jacintoauto.com,No real website; high-fit niche; has phone + email,"Hi, I came across Jacinto Automotive in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,c3014d6b-1def-4869-95fd-4bbe587bbd3c
29,100,A,high,Kutting Edge Auto Refinishing,automotive repair,Ukiah,(707) 272-8024,kuttingedgeauto@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Kutting Edge Auto Refinishing in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,323a638b-5bcb-4c0b-a438-eb23d1c5d2f3
30,100,A,high,Lehman's Honda/Acura specialist,automotive repair,Ukiah,(707) 462-3119,,No real website; high-fit niche; has phone,"Hi, I came across Lehman's Honda/Acura specialist in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,917b5ef1-d219-4495-b450-63161b494699
31,100,A,high,Mucci Automotive Performance,automotive repair,Upper Lake,(707) 349-5469,,No real website; high-fit niche; has phone,"Hi, I came across Mucci Automotive Performance in Upper Lake and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",,a466ff23-f779-4a47-8374-23c81ead0833
32,100,A,high,Nor-Crawl,automotive repair,Willits,(707) 354-0397,norcrawl@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Nor-Crawl in Willits and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,42520759-0c22-4e66-b374-34508e2758e5
33,100,A,high,Performance Plus Automotive,automotive repair,Lakeport,(707) 263-3147,,No real website; high-fit niche; has phone,"Hi, I came across Performance Plus Automotive in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,78d2eb10-ac91-42d0-85aa-40319e36acef
34,100,A,high,Roberts performance upgrade and repair,automotive repair,Mendocino,(707) 734-3073,mendomastertech1@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Roberts performance upgrade and repair in Mendocino and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Mendocino businesses and can send a free mockup.",,66759f55-b02f-4a38-9cc7-64a70263cd6e
35,100,A,high,TC Automotive & Mendo Diesels,automotive repair,Ukiah,(707) 462-7769,charlie.tcautomotive@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across TC Automotive & Mendo Diesels in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,16befb4e-3664-46fc-a074-9317a6ed7bcf
36,100,A,high,The Shop,automotive repair,Fort Bragg,(707) 964-0770,theshop707@hotmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across The Shop in Fort Bragg and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fort Bragg businesses and can send a free mockup.",,44b17cb4-2854-465b-acf6-6036bc521b67
37,100,A,high,Tri-Valley Paints,automotive repair,Ukiah,(707) 462-4484,,No real website; high-fit niche; has phone,"Hi, I came across Tri-Valley Paints in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,22561dd5-6434-4500-b9a8-4650a39b8540
38,100,A,high,Vic's Automotive Service Center,automotive repair,Point Arena,(707) 489-4482,,No real website; high-fit niche; has phone,"Hi, I came across Vic's Automotive Service Center in Point Arena and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Point Arena businesses and can send a free mockup.",,df3a52ce-4b1a-4e37-8c97-10f188de82b9
39,100,A,high,Wicked Automotive,automotive repair,Lakeport,(707) 230-6383,wicked.automotive100@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Wicked Automotive in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,27da9203-4c2b-4bd8-80f0-ecbb13bdfd9d
40,100,A,high,Yaw's Automotive,automotive repair,Ukiah,(707) 489-4797,,No real website; high-fit niche; has phone,"Hi, I came across Yaw's Automotive in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,8c8607d7-4abc-4e37-9330-f2478d6cd92e
41,100,A,high,ukiah auto dismantlers,automotive repair,Ukiah,(707) 463-1891,ukiahautodismantlers@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across ukiah auto dismantlers in Ukiah and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,ad6ad90d-238d-4989-a2cd-c8179028c11d
42,100,A,high,Alvarez Car Creations,automotive services and repair,Ukiah,(707) 727-6005,acarcreations@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Alvarez Car Creations in Ukiah and noticed you don't have a website yet — for a automotive services and repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,b959d95a-5a8a-48fb-b1b3-e7b55f07dd5b
43,100,A,high,Bakery El Palomo,bakery,Cloverdale,(707) 894-0104,,No real website; high-fit niche; has phone,"Hi, I came across Bakery El Palomo in Cloverdale and noticed you don't have a website yet — for a bakery, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,9e7a2240-33ba-4df6-8031-ee655d007f09
44,100,B,high,Delicious Delightful,bakery,Cloverdale,(604) 500-9656,delicious.delightful2@gmail.com,DIY site (Square) — upsell; high-fit niche; has phone + email,"Hi, I found Delicious Delightful in Cloverdale and saw the site is on Square. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://delicious-delightful-2.square.site/,1516e5ed-e765-4937-aaa5-d3c0154d07a7
45,100,A,high,Garden Bakery,bakery,Mendocino,(707) 937-3140,mendocinogardenbakery@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Garden Bakery in Mendocino and noticed you don't have a website yet — for a bakery, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Mendocino businesses and can send a free mockup.",https://sites.google.com/site/mendogardenbakery/,d35d5de7-fbd5-47fd-a5b0-174a8364b060
46,100,A,high,Rollin Dough Baking Co,bakery,Fort Bragg,(707) 670-0084,joannac676@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Rollin Dough Baking Co in Fort Bragg and noticed you don't have a website yet — for a bakery, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fort Bragg businesses and can send a free mockup.",,344fb5cc-adf3-4f6a-ba41-796c7235b0a0
47,100,A,high,Buckhorn Bar,bar,Covelo,(707) 763-0365,,No real website; high-fit niche; has phone,"Hi, I came across Buckhorn Bar in Covelo and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Covelo businesses and can send a free mockup.",,de5f4802-39a5-4edb-8ccc-01286d1b422b
48,100,A,high,El Primos Bar and Billard,bar,Ukiah,(707) 462-4681,,No real website; high-fit niche; has phone,"Hi, I came across El Primos Bar and Billard in Ukiah and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,c58dea88-3116-423c-8bdc-84d2fb2f2985
49,100,A,high,Hopper's Corner Saloon,bar,Potter Valley,(707) 743-1678,,No real website; high-fit niche; has phone,"Hi, I came across Hopper's Corner Saloon in Potter Valley and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Potter Valley businesses and can send a free mockup.",,e017adbd-1843-4d19-a334-5d258fd10700
50,100,A,high,Little John's,bar,Willits,(707) 459-5636,,No real website; high-fit niche; has phone,"Hi, I came across Little John's in Willits and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,088bffde-47c0-4074-bf26-b0d7be6110c5
51,100,A,high,McCarty's Bar,bar,Redwood Valley,(707) 485-5108,,No real website; high-fit niche; has phone,"Hi, I came across McCarty's Bar in Redwood Valley and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Redwood Valley businesses and can send a free mockup.",,28a75a6f-7877-47c4-a4b9-1c5a142a8804
52,100,A,high,Sawmill Saloon,bar,Cloverdale,(707) 894-9881,,No real website; high-fit niche; has phone,"Hi, I came across Sawmill Saloon in Cloverdale and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,a6fb0151-ad1b-4248-8cdf-cd074ef7bb37
53,100,A,high,Schweitzers Giants Game N Grill House,bar,Lakeport,(707) 510-1423,t8achance90@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Schweitzers Giants Game N Grill House in Lakeport and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,ed60ba22-5db9-40e9-912c-ccfc1817e571
54,100,A,high,Vic's Place,bar,Redwood Valley,(707) 485-8422,,No real website; high-fit niche; has phone,"Hi, I came across Vic's Place in Redwood Valley and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Redwood Valley businesses and can send a free mockup.",,ac11ebdf-f746-4255-b280-87d183772c26
55,100,A,high,Cove Azul Bar & Grill,bar and grill restaurant,Gualala,(707) 884-1835,,No real website; high-fit niche; has phone,"Hi, I came across Cove Azul Bar & Grill in Gualala and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Gualala businesses and can send a free mockup.",http://web.facebook.com/pages/Cove%20Azul%20Bar%20&%20Grill/102227446487461,41c44d0b-8a2e-41bc-a82a-cb5bb606af0c
56,100,B,high,Drinx Bar and Grill,bar and grill restaurant,Lakeport,(707) 263-7355,jcook7777777@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Drinx Bar and Grill in Lakeport and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://drinxs-nite-club.business.site/,f81d6659-8ab9-4f61-9340-761e0097fcd7
57,100,A,high,The Bad Habit Grill,bar and grill restaurant,Ukiah,(707) 380-3861,jasmin1558@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across The Bad Habit Grill in Ukiah and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,59db80cb-6b24-41ed-abc0-8bd745a68120
58,100,A,high,The Buzzard's Roost,bar and grill restaurant,Willits,(707) 513-6213,buzzardroost2025@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across The Buzzard's Roost in Willits and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,96360ca2-cde6-492a-ae26-8c33767b9ce1
59,100,A,high,Smokey's BBQ,barbecue restaurant,Willits,(707) 409-4331,,No real website; high-fit niche; has phone,"Hi, I came across Smokey's BBQ in Willits and noticed you don't have a website yet — for a barbecue restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,d4a25300-6a37-42dd-a43c-a3fcc51d9bea
60,100,A,high,Bozzoli's Barbershop,barber,Ukiah,(707) 489-3973,,No real website; high-fit niche; has phone,"Hi, I came across Bozzoli's Barbershop in Ukiah and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,761b67b1-517b-41d6-83f2-02803fbbd2ce
61,100,A,high,Carls classics barbershop,barber,Willits,(707) 354-4957,classic707barber@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Carls classics barbershop in Willits and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,be68e896-f1d5-4e9c-89d6-1cc6a7c558eb
62,100,A,high,Hair Group,barber,Fort Bragg,(707) 962-9226,,No real website; high-fit niche; has phone,"Hi, I came across Hair Group in Fort Bragg and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fort Bragg businesses and can send a free mockup.",,f9fc0177-34a1-4994-962b-61b2a790c703
63,100,A,high,Main Street Barbershop,barber,Willits,(707) 841-9022,,No real website; high-fit niche; has phone,"Hi, I came across Main Street Barbershop in Willits and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,711b64cb-f370-44dd-873a-5a5d1d6b6cfc
64,100,A,high,Men's Room,barber,Fort Bragg,(707) 964-4768,,No real website; high-fit niche; has phone,"Hi, I came across Men's Room in Fort Bragg and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fort Bragg businesses and can send a free mockup.",,08a0b7ba-a24d-468a-a03d-8ccd6ebf87f6
65,100,A,high,Mendo Made Salon and Barbershop,barber,Willits,(707) 972-6874,,No real website; high-fit niche; has phone,"Hi, I came across Mendo Made Salon and Barbershop in Willits and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,9720b100-5eb1-4d66-b978-0def5e2d4fc5
66,100,A,high,Morgan's Barber Shop,barber,Lakeport,(707) 263-6611,,No real website; high-fit niche; has phone,"Hi, I came across Morgan's Barber Shop in Lakeport and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,f2425fc3-4643-4c48-bef3-14e474b659f9
67,100,A,high,Nor Cal Cuts,barber,Lakeport,(707) 349-3785,,No real website; high-fit niche; has phone,"Hi, I came across Nor Cal Cuts in Lakeport and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,2bbbc7c1-d4c6-4831-a624-bc38c339e9de
68,100,A,high,Prestige Barber Studio,barber,Ukiah,(707) 621-4871,,No real website; high-fit niche; has phone,"Hi, I came across Prestige Barber Studio in Ukiah and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,8019fc6d-2bf0-485c-b98b-9360eda36b9b
69,100,A,high,Reyes hair cuts,barber,Ukiah,(707) 489-1140,,No real website; high-fit niche; has phone,"Hi, I came across Reyes hair cuts in Ukiah and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,2b8fbe06-23a5-40a8-8ad9-fe52329b6228
70,100,A,high,Santamaria Studio,barber,Ukiah,(707) 380-4177,,No real website; high-fit niche; has phone,"Hi, I came across Santamaria Studio in Ukiah and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,8e928052-bb2a-4d03-b106-45a85de3b751
71,100,A,high,Tony's Barber Shop,barber,Ukiah,(707) 272-1383,,No real website; high-fit niche; has phone,"Hi, I came across Tony's Barber Shop in Ukiah and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,1ae2db7d-743a-488b-936c-c71f20ee5003
72,100,A,high,Wirt's Barbershop,barber,Cloverdale,(707) 360-8289,,No real website; high-fit niche; has phone,"Hi, I came across Wirt's Barbershop in Cloverdale and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,4e762a00-2cbe-4733-8436-c35886843fe9
73,100,A,high,Alejandra Verdun at The Studio,beauty and spa,Boonville,(707) 621-2684,,No real website; high-fit niche; has phone,"Hi, I came across Alejandra Verdun at The Studio in Boonville and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Boonville businesses and can send a free mockup.",,ad9baa08-bbfe-4adf-a792-c35587c0b1ac
74,100,A,high,Bare Beauty by C Fiske,beauty and spa,Lakeport,(707) 245-6060,barebeautybycfiske@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Bare Beauty by C Fiske in Lakeport and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,d0ec2b1c-ce87-4fc7-b0eb-4019ef8b5535
75,100,A,high,Beauty Bar,beauty and spa,Cloverdale,(707) 758-4393,,No real website; high-fit niche; has phone,"Hi, I came across Beauty Bar in Cloverdale and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,5c11f8c9-ef0d-48a1-87fe-16af40792a7d
76,100,A,high,Designs by Amy J / Cosmetology,beauty and spa,Ukiah,(707) 391-6546,,No real website; high-fit niche; has phone,"Hi, I came across Designs by Amy J / Cosmetology in Ukiah and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Ukiah businesses and can send a free mockup.",,41ccb725-b063-487b-b091-816296f9ee03
