rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
11,100,A,high,"JayBaba's Kitchen, Home of Authentic African-Ghanaian Cuisines",african restaurant,Fairfield,(262) 994-2645,,No real website; high-fit niche; has phone,"Hi, I came across JayBaba's Kitchen, Home of Authentic African-Ghanaian Cuisines in Fairfield and noticed you don't have a website yet — for a african restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,9326c121-0ff8-4bfd-89fe-cf4a6fb77e5a
12,100,A,high,Golden Churro,american restaurant,Napa,(707) 812-5466,oscarchicatti@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Golden Churro in Napa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,a2576b4e-a6ab-447b-b1cd-2ece54a8ef39
13,100,A,high,Gravy Robbers,american restaurant,Vallejo,(503) 896-8418,,No real website; high-fit niche; has phone,"Hi, I came across Gravy Robbers in Vallejo and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,4f2811da-c2a2-47a7-85a0-370650810f47
14,100,A,high,Joy of Eating Cafe,american restaurant,Suisun City,(707) 426-1147,,No real website; high-fit niche; has phone,"Hi, I came across Joy of Eating Cafe in Suisun City and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Suisun City businesses and can send a free mockup.",,f76e1507-846c-4fd0-ad1e-ef52ea32ef26
15,100,A,high,North Napa BBQ,american restaurant,Napa,(707) 253-2859,,No real website; high-fit niche; has phone,"Hi, I came across North Napa BBQ in Napa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,ea12ed1c-49dd-497d-bf4a-bd92760030c2
16,100,A,high,Raul's Striper Cafe,american restaurant,Rio Vista,(707) 374-4861,,No real website; high-fit niche; has phone,"Hi, I came across Raul's Striper Cafe in Rio Vista and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Rio Vista businesses and can send a free mockup.",http://web.facebook.com/pages/Raul's%20Striper%20Cafe/108418785887159,f0cc4236-f3d7-4663-917a-2ec3d88cd4ef
17,100,A,high,Striper Cafe,american restaurant,Rio Vista,(707) 374-4861,,No real website; high-fit niche; has phone,"Hi, I came across Striper Cafe in Rio Vista and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Rio Vista businesses and can send a free mockup.",,f61fd1f7-a172-477d-a6f0-089aa23c7156
18,100,A,high,Antiques on First,antique store,Benicia,(707) 751-3727,antiquesonfirst@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Antiques on First in Benicia and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Benicia businesses and can send a free mockup.",,1c151228-8684-4eb7-a4f3-3721106efbf4
19,100,A,high,Compulsive Peddler,antique store,Port Costa,(510) 965-5941,,No real website; high-fit niche; has phone,"Hi, I came across Compulsive Peddler in Port Costa and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Port Costa businesses and can send a free mockup.",,ccb7ce40-4f6f-475b-bd01-c7d215051fa0
20,100,A,high,Golden Horseshoe Antiques,antique store,Benicia,(707) 334-6181,,No real website; high-fit niche; has phone,"Hi, I came across Golden Horseshoe Antiques in Benicia and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Benicia businesses and can send a free mockup.",,75533a03-9630-4c1f-bc24-1113e5bb1997
21,100,A,high,The Treasure Box,antique store,Vallejo,(415) 889-0865,,No real website; high-fit niche; has phone,"Hi, I came across The Treasure Box in Vallejo and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,ff209432-2e33-476e-af41-ba60781507ce
22,100,A,high,Vacaville Vintage Market,antique store,Vacaville,(925) 978-6989,bygoneshop@aol.com,No real website; high-fit niche; has phone + email,"Hi, I came across Vacaville Vintage Market in Vacaville and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,93d9c2de-4f4a-47be-a98f-fbd1ad306c41
23,100,A,high,Yesteryears Marketplace,antique store,Vallejo,(707) 557-4671,,No real website; high-fit niche; has phone,"Hi, I came across Yesteryears Marketplace in Vallejo and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,b7822977-ea3a-40c1-932a-8fe1ee78fd53
24,100,A,high,Los Aguachiles,asian fusion restaurant,Fairfield,(707) 759-6790,marco11980@outlook.com,No real website; high-fit niche; has phone + email,"Hi, I came across Los Aguachiles in Fairfield and noticed you don't have a website yet — for a asian fusion restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,7eeb41ad-446b-4807-9aa5-04836f021895
25,100,A,high,Kado's Asian Grill,asian restaurant,Fairfield,(916) 879-8348,,No real website; high-fit niche; has phone,"Hi, I came across Kado's Asian Grill in Fairfield and noticed you don't have a website yet — for a asian restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,60ccadce-bee9-430d-b310-abe5b4d72657
26,100,A,high,Lime Leaf,asian restaurant,Vacaville,(707) 429-1969,,No real website; high-fit niche; has phone,"Hi, I came across Lime Leaf in Vacaville and noticed you don't have a website yet — for a asian restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,f4cfaafd-d560-4e27-92e6-d40d147cce3c
27,100,A,high,Advanced Auto Body Center,auto body shop,Napa,(707) 226-9693,advance1111@aol.com,No real website; high-fit niche; has phone + email,"Hi, I came across Advanced Auto Body Center in Napa and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",https://twitter.com/AdvancedAutoBod,5b593a8b-3f48-4b67-b8db-5d0d122b97f4
28,100,A,high,Autofix Auto Repair and Collision,auto body shop,American Canyon,(707) 334-3544,,No real website; high-fit niche; has phone,"Hi, I came across Autofix Auto Repair and Collision in American Canyon and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for American Canyon businesses and can send a free mockup.",,5f67bdea-f668-41ed-9ee5-6f680ec51778
29,100,A,high,G and C Auto Body,auto body shop,Vacaville,(707) 449-9358,,No real website; high-fit niche; has phone,"Hi, I came across G and C Auto Body in Vacaville and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,00de4a77-6a39-4542-8d69-830ceae21632
30,100,A,high,Grizzly Auto Body,auto body shop,Suisun City,(707) 979-6700,grizzlyautogarage@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Grizzly Auto Body in Suisun City and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Suisun City businesses and can send a free mockup.",https://www.instagram.com/p/BOLEepEATuZ,08801e07-e24b-412f-b0c7-bfcb40360943
31,100,B,high,Manuel Auto Body and Custom Collision,auto body shop,Vallejo,(707) 644-7799,manuelsab@yahoo.com,DIY site (Wix) — upsell; high-fit niche; has phone + email,"Hi, I found Manuel Auto Body and Custom Collision in Vallejo and saw the site is on Wix. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://djitangel.wixsite.com/manuelsautobody,1a942a96-bc5d-43fc-8ffa-65380f002a16
32,100,A,high,Sonoma Auto Collision,auto body shop,Vallejo,(707) 643-4518,,No real website; high-fit niche; has phone,"Hi, I came across Sonoma Auto Collision in Vallejo and noticed you don't have a website yet — for a auto body shop, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,1073bab6-d081-4f0d-9950-8cc575eff52a
33,100,A,high,Authentic Detail,auto detailing,Vacaville,(707) 718-7510,,No real website; high-fit niche; has phone,"Hi, I came across Authentic Detail in Vacaville and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,f365193e-ed73-4668-9d62-1959fdba0bec
34,100,A,high,Golden State Auto Detail,auto detailing,Suisun City,(707) 639-8827,goldenstateautodetail2@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Golden State Auto Detail in Suisun City and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Suisun City businesses and can send a free mockup.",,8dc7faef-5bb6-47dc-8f95-7f8e0ad9f53c
35,100,A,high,Mendoza Carwash,auto detailing,Vallejo,(707) 803-0252,,No real website; high-fit niche; has phone,"Hi, I came across Mendoza Carwash in Vallejo and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,d404f47c-726d-4050-a7d4-0acc97a430bf
36,100,A,high,My Eye for Detail,auto detailing,Napa,(707) 812-1043,,No real website; high-fit niche; has phone,"Hi, I came across My Eye for Detail in Napa and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,5e7bbab7-852f-4f1c-93ee-ce9ee8126226
37,100,A,high,Sal’s Mobile Car Detailing & Mobile Car Wash,auto detailing,Pittsburg,(925) 726-7410,salvadorcortezbridges@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Sal’s Mobile Car Detailing & Mobile Car Wash in Pittsburg and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Pittsburg businesses and can send a free mockup.",,fcfffc6c-4b56-46f2-849b-83099b1b50b5
38,100,A,high,Top of the Line Mobile Detailing,auto detailing,Fairfield,(510) 506-5628,,No real website; high-fit niche; has phone,"Hi, I came across Top of the Line Mobile Detailing in Fairfield and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,ae4e5f9b-8ad7-4ba5-9087-bbe2f139cc28
39,100,A,high,Underground Performance Auto Shop,auto detailing,Fairfield,(707) 989-1422,uperformance.as@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Underground Performance Auto Shop in Fairfield and noticed you don't have a website yet — for a auto detailing, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,8a374b09-4e6e-43fb-94f2-52bee0891e30
40,100,A,high,Array Scooters,automotive,Vacaville,(707) 344-4410,arrayscooters@hotmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Array Scooters in Vacaville and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,55e560ba-cea3-4725-8f72-e2ff5114849f
41,100,A,high,Cbr Motor Sports,automotive,Vallejo,(707) 561-0325,,No real website; high-fit niche; has phone,"Hi, I came across Cbr Motor Sports in Vallejo and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,9a9f4302-5e92-40d1-a306-5c773ad63c02
42,100,A,high,High Quality Window Tinting,automotive,Vacaville,(888) 759-8468,,No real website; high-fit niche; has phone,"Hi, I came across High Quality Window Tinting in Vacaville and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,73a91068-75cc-49a6-b913-ed8e00df089b
43,100,A,high,Master Headlight Restoration,automotive,Pittsburg,(925) 727-9949,masterhedligtca@gimail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Master Headlight Restoration in Pittsburg and noticed you don't have a website yet — for a automotive, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Pittsburg businesses and can send a free mockup.",,782c7438-53ce-483b-af8e-c7130795b356
44,100,A,high,R and S Auto Sales,automotive dealer,Vallejo,(707) 712-3106,,No real website; high-fit niche; has phone,"Hi, I came across R and S Auto Sales in Vallejo and noticed you don't have a website yet — for a automotive dealer, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,9ce06382-40ca-4239-88a9-292d8c3137a1
45,100,A,high,Dynasty Coachworks,automotive parts and accessories,Vallejo,(707) 643-9678,sales@dynastycoachworks.com,No real website; high-fit niche; has phone + email,"Hi, I came across Dynasty Coachworks in Vallejo and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,efd18e06-b1c0-46a6-993c-528e9c51a3c4
46,100,B,high,LJ's Speed & Machine Shop Inc,automotive parts and accessories,Napa,(707) 255-4611,ljsspeed@aol.com,DIY site (Wix) — upsell; high-fit niche; has phone + email,"Hi, I found LJ's Speed & Machine Shop Inc in Napa and saw the site is on Wix. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://ljsspeed.wixsite.com/ljsspeedandmachine,5b2aa7aa-f7e1-467e-ba07-4758aa8b4595
47,100,A,high,Ofp Cycles,automotive parts and accessories,Vacaville,(707) 474-9713,,No real website; high-fit niche; has phone,"Hi, I came across Ofp Cycles in Vacaville and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,5edfbe98-247f-4485-8b45-4d1747f520e7
48,100,A,high,rpm motorsports,automotive parts and accessories,Dixon,(209) 509-9704,rpmmotorsports@att.net,No real website; high-fit niche; has phone + email,"Hi, I came across rpm motorsports in Dixon and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Dixon businesses and can send a free mockup.",,0e675945-3ea0-40d4-9c98-e7b2e004d7c7
49,100,A,high,A & R Auto Service,automotive repair,Vallejo,(707) 712-7091,anrautoservice@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across A & R Auto Service in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,59a70f06-543f-4da0-9acb-4abd6fc2c42f
50,100,A,high,ALG Auto Repairs ,automotive repair,Napa,(415) 740-8967,bsaadansari@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across ALG Auto Repairs in Napa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",https://sites.google.com/view/algautorepairs/home?authuser=0,80dc59bb-3e39-4406-8a76-b7013058a21f
51,100,A,high,Acapulco Mufflers & Auto Repair,automotive repair,Vallejo,(707) 333-3466,mufflersacapulco@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Acapulco Mufflers & Auto Repair in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,f43fdda4-79b3-4ed7-a697-201aec3ec356
52,100,A,high,Advanced Smog Center,automotive repair,Fairfield,(707) 432-5762,kfworry@sbcglobal.net,No real website; high-fit niche; has phone + email,"Hi, I came across Advanced Smog Center in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,53b361ed-2048-42ec-92da-6f76e8e2b466
53,100,A,high,Arriaga's Automotive Diagnostic Llc,automotive repair,Vallejo,(707) 655-6143,yarachitoautodiagnostic@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Arriaga's Automotive Diagnostic Llc in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,f69f0d86-6369-4357-951d-5ac76a291ecd
54,100,A,high,Automedic,automotive repair,Benicia,(707) 333-0990,,No real website; high-fit niche; has phone,"Hi, I came across Automedic in Benicia and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Benicia businesses and can send a free mockup.",,b8a55ea1-0ce5-4d9d-855d-37940efaca37
55,100,A,high,Autosport II,automotive repair,Vallejo,(707) 552-0000,portugueswonder@comcast.com,No real website; high-fit niche; has phone + email,"Hi, I came across Autosport II in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,d8aeceeb-eb8f-41d9-9aaf-6e38d077e706
56,100,A,high,BWR - Buckwildracin,automotive repair,Dixon,(707) 301-0003,buckwild32@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across BWR - Buckwildracin in Dixon and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Dixon businesses and can send a free mockup.",,d297bf71-b267-4a2c-b03c-ca0f290b35cd
57,100,A,high,Bay Area Muffler,automotive repair,Fairfield,(707) 389-4723,,No real website; high-fit niche; has phone,"Hi, I came across Bay Area Muffler in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,4045ec7e-7dd6-439a-bf74-47b5d62865cf
58,100,A,high,Bay Area Sports & Body,automotive repair,Vallejo,(707) 980-7565,,No real website; high-fit niche; has phone,"Hi, I came across Bay Area Sports & Body in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,9ef26c77-605e-40d5-9744-5bad998d5ff3
59,100,A,high,Benicia Auto Tech,automotive repair,Napa,(707) 718-1750,,No real website; high-fit niche; has phone,"Hi, I came across Benicia Auto Tech in Napa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,97c3deea-b35d-4067-a199-2ce0089b060c
60,100,A,high,Binninger's Auto Repair and Street Rods,automotive repair,Dixon,(707) 693-1606,binningershotrods@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Binninger's Auto Repair and Street Rods in Dixon and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Dixon businesses and can send a free mockup.",http://www.yelp.com/biz/binningers-auto-repair-and-hot-rod-garage-dixon,18d1dbe7-f3df-49ef-bc31-1e6329a670f2
61,100,A,high,Boncraft Autoworks,automotive repair,Fairfield,(707) 384-8388,boncraftca@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Boncraft Autoworks in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,c2a0e47c-a27d-4874-a74b-c26a7cb84093
62,100,A,high,Built Right Motorsports llc,automotive repair,Vallejo,(650) 533-1773,,No real website; high-fit niche; has phone,"Hi, I came across Built Right Motorsports llc in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,b152e1c7-4e7d-4415-b626-814a607e710e
63,100,A,high,Community Auto Repair Service,automotive repair,Fairfield,(707) 920-2173,,No real website; high-fit niche; has phone,"Hi, I came across Community Auto Repair Service in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,8a088150-05ae-47e0-abdb-bf449bbad424
64,100,A,high,Coveted Design & Fabrication,automotive repair,Vacaville,(707) 685-3143,,No real website; high-fit niche; has phone,"Hi, I came across Coveted Design & Fabrication in Vacaville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,f15a5d02-04dc-4625-ab13-f1d36ea0d719
65,100,A,high,Creative Customs AutoSport,automotive repair,Vallejo,(707) 674-1113,creativecustoms.jdm@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Creative Customs AutoSport in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,77a511e8-bdbf-4f73-85c6-c11ad2a3cdd1
66,100,A,high,Danny’s Auto Repair & Sales,automotive repair,Fairfield,(707) 580-3151,dannyautorepair707@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Danny’s Auto Repair & Sales in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,66d94192-7242-4371-8016-9d3e18224b96
67,100,A,high,Dave's Transmission,automotive repair,Napa,(707) 339-8736,david@beamsmrc.com,No real website; high-fit niche; has phone + email,"Hi, I came across Dave's Transmission in Napa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,24b34991-dbde-4b05-8a4e-1889ef6d8bde
68,100,A,high,Dixon Suspension & Smog,automotive repair,Dixon,(707) 770-9682,,No real website; high-fit niche; has phone,"Hi, I came across Dixon Suspension & Smog in Dixon and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Dixon businesses and can send a free mockup.",,1b15a97e-ee6a-4301-8cf9-395711e05846
69,100,A,high,Don Wade Auto Repair,automotive repair,Fairfield,(707) 249-5434,,No real website; high-fit niche; has phone,"Hi, I came across Don Wade Auto Repair in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,99d63697-6cd7-4a8c-932f-f671d063afa3
70,100,A,high,Exotic Auto Body,automotive repair,Vacaville,(707) 447-8646,,No real website; high-fit niche; has phone,"Hi, I came across Exotic Auto Body in Vacaville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vacaville businesses and can send a free mockup.",,dd5b797d-9fba-4ed3-98be-c425c2680447
71,100,A,high,First Choice Automotive,automotive repair,Dixon,(707) 678-2746,1stchoicedixon@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across First Choice Automotive in Dixon and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Dixon businesses and can send a free mockup.",,3bdb6e87-0836-4fd2-ad53-f9dc6dcf3c99
72,100,A,high,Fred & Sons Automotive,automotive repair,Vallejo,(707) 557-0959,,No real website; high-fit niche; has phone,"Hi, I came across Fred & Sons Automotive in Vallejo and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,842b7572-3d98-4e95-82e0-ad9b89df2a2d
73,100,A,high,GM Guam Automotive,automotive repair,Fairfield,(707) 421-2283,gmguamautomotive@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across GM Guam Automotive in Fairfield and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,a37e5ac1-c844-43f8-aa67-e615dd52d9cf
74,100,A,high,Garcia's Auto Services,automotive repair,Napa,(707) 256-3862,,No real website; high-fit niche; has phone,"Hi, I came across Garcia's Auto Services in Napa and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,abf6bc66-7be3-451b-adb7-ae8e5ea062f7
